DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
08 ABR 2020,30-39,106.0,0.0
08 ABR 2020,40-49,141.0,0.0
08 ABR 2020,50-59,136.0,1.0
08 ABR 2020,60-69,96.0,3.0
08 ABR 2020,70-79,67.0,9.0
08 ABR 2020,80+,54.0,22.0
09 ABR 2020,0-9,14.0,0.0
09 ABR 2020,10-19,28.0,0.0
09 ABR 2020,20-29,81.0,0.0
09 ABR 2020,30-39,89.0,0.0
09 ABR 2020,40-49,103.0,0.0
09 ABR 2020,50-59,105.0,0.0
09 ABR 2020,60-69,70.0,4.0
09 ABR 2020,70-79,58.0,1.0
09 ABR 2020,80+,267.0,24.0
10 ABR 2020,0-9,39.0,0.0
10 ABR 2020,10-19,49.0,0.0
10 ABR 2020,20-29,164.0,0.0
10 ABR 2020,30-39,202.0,0.0
10 ABR 2020,40-49,252.0,0.0
10 ABR 2020,50-59,255.0,2.0
10 ABR 2020,60-69,179.0,1.0
10 ABR 2020,70-79,122.0,4.0
10 ABR 2020,80+,254.0,19.0
11 ABR 2020,0-9,20.0,0.0
11 ABR 2020,10-19,15.0,0.0
11 ABR 2020,20-29,31.0,0.0
11 ABR 2020,30-39,41.0,0.0
11 ABR 2020,40-49,82.0,0.0
11 ABR 2020,50-59,80.0,4.0
11 ABR 2020,60-69,51.0,5.0
11 ABR 2020,70-79,54.0,8.0
11 ABR 2020,80+,141.0,18.0
12 ABR 2020,0-9,18.0,0.0
12 ABR 2020,10-19,15.0,0.0
12 ABR 2020,20-29,72.0,0.0
12 ABR 2020,30-39,68.0,0.0
12 ABR 2020,40-49,78.0,1.0
12 ABR 2020,50-59,99.0,0.0
12 ABR 2020,60-69,63.0,0.0
12 ABR 2020,70-79,57.0,8.0
12 ABR 2020,80+,128.0,25.0
13 ABR 2020,0-9,1.0,0.0
13 ABR 2020,10-19,5.0,0.0
13 ABR 2020,20-29,52.0,0.0
13 ABR 2020,30-39,48.0,0.0
13 ABR 2020,40-49,37.0,1.0
13 ABR 2020,50-59,51.0,1.0
13 ABR 2020,60-69,33.0,5.0
13 ABR 2020,70-79,48.0,3.0
13 ABR 2020,80+,74.0,21.0
14 ABR 2020,0-9,6.0,0.0
14 ABR 2020,10-19,16.0,0.0
14 ABR 2020,20-29,57.0,0.0
14 ABR 2020,30-39,50.0,0.0
14 ABR 2020,40-49,73.0,1.0
14 ABR 2020,50-59,86.0,1.0
14 ABR 2020,60-69,62.0,3.0
14 ABR 2020,70-79,61.0,5.0
14 ABR 2020,80+,103.0,22.0
15 ABR 2020,0-9,14.0,0.0
15 ABR 2020,10-19,19.0,0.0
15 ABR 2020,20-29,78.0,0.0
15 ABR 2020,30-39,84.0,0.0
15 ABR 2020,40-49,119.0,0.0
15 ABR 2020,50-59,105.0,0.0
15 ABR 2020,60-69,74.0,2.0
15 ABR 2020,70-79,47.0,9.0
15 ABR 2020,80+,103.0,21.0
16 ABR 2020,0-9,17.0,0.0
16 ABR 2020,10-19,15.0,0.0
16 ABR 2020,20-29,96.0,0.0
16 ABR 2020,30-39,118.0,0.0
16 ABR 2020,40-49,143.0,1.0
16 ABR 2020,50-59,146.0,0.0
16 ABR 2020,60-69,77.0,1.0
16 ABR 2020,70-79,42.0,6.0
16 ABR 2020,80+,96.0,22.0
17 ABR 2020,0-9,1.0,0.0
17 ABR 2020,10-19,2.0,0.0
17 ABR 2020,20-29,19.0,0.0
17 ABR 2020,30-39,25.0,0.0
17 ABR 2020,40-49,29.0,0.0
17 ABR 2020,50-59,27.0,0.0
17 ABR 2020,60-69,22.0,2.0
17 ABR 2020,70-79,16.0,6.0
17 ABR 2020,80+,40.0,20.0
18 ABR 2020,0-9,6.0,0.0
18 ABR 2020,10-19,21.0,0.0
18 ABR 2020,20-29,84.0,0.0
18 ABR 2020,30-39,102.0,0.0
18 ABR 2020,40-49,92.0,0.0
18 ABR 2020,50-59,116.0,1.0
18 ABR 2020,60-69,66.0,3.0
18 ABR 2020,70-79,54.0,8.0
18 ABR 2020,80+,122.0,18.0
19 ABR 2020,0-9,17.0,0.0
19 ABR 2020,10-19,28.0,0.0
19 ABR 2020,20-29,52.0,0.0
19 ABR 2020,30-39,80.0,0.0
19 ABR 2020,40-49,85.0,0.0
19 ABR 2020,50-59,88.0,1.0
19 ABR 2020,60-69,37.0,1.0
19 ABR 2020,70-79,41.0,6.0
19 ABR 2020,80+,93.0,19.0
20 ABR 2020,0-9,14.0,0.0
20 ABR 2020,10-19,45.0,0.0
20 ABR 2020,20-29,151.0,0.0
20 ABR 2020,30-39,100.0,0.0
20 ABR 2020,40-49,125.0,0.0
20 ABR 2020,50-59,72.0,0.0
20 ABR 2020,60-69,59.0,0.0
20 ABR 2020,70-79,51.0,4.0
20 ABR 2020,80+,40.0,17.0
21 ABR 2020,0-9,0.0,0.0
21 ABR 2020,10-19,6.0,0.0
21 ABR 2020,20-29,78.0,0.0
21 ABR 2020,30-39,53.0,0.0
21 ABR 2020,40-49,22.0,1.0
21 ABR 2020,50-59,88.0,0.0
21 ABR 2020,60-69,54.0,2.0
21 ABR 2020,70-79,28.0,4.0
21 ABR 2020,80+,187.0,20.0
22 ABR 2020,0-9,1.0,0.0
22 ABR 2020,10-19,61.0,0.0
22 ABR 2020,20-29,81.0,0.0
22 ABR 2020,30-39,89.0,0.0
22 ABR 2020,40-49,121.0,0.0
22 ABR 2020,50-59,99.0,0.0
22 ABR 2020,60-69,64.0,0.0
22 ABR 2020,70-79,56.0,2.0
22 ABR 2020,80+,31.0,21.0
23 ABR 2020,0-9,0.0,0.0
23 ABR 2020,10-19,11.0,0.0
23 ABR 2020,20-29,72.0,0.0
23 ABR 2020,30-39,57.0,0.0
23 ABR 2020,40-49,44.0,0.0
23 ABR 2020,50-59,49.0,1.0
23 ABR 2020,60-69,36.0,4.0
23 ABR 2020,70-79,38.0,7.0
23 ABR 2020,80+,64.0,23.0
24 ABR 2020,0-9,0.0,0.0
24 ABR 2020,10-19,12.0,0.0
24 ABR 2020,20-29,77.0,0.0
24 ABR 2020,30-39,59.0,0.0
24 ABR 2020,40-49,45.0,0.0
24 ABR 2020,50-59,62.0,1.0
24 ABR 2020,60-69,66.0,4.0
24 ABR 2020,70-79,48.0,6.0
24 ABR 2020,80+,75.0,23.0
25 ABR 2020,0-9,8.0,0.0
25 ABR 2020,10-19,12.0,0.0
25 ABR 2020,20-29,36.0,0.0
25 ABR 2020,30-39,78.0,0.0
25 ABR 2020,40-49,97.0,1.0
25 ABR 2020,50-59,78.0,2.0
25 ABR 2020,60-69,46.0,2.0
25 ABR 2020,70-79,26.0,4.0
25 ABR 2020,80+,93.0,17.0
26 ABR 2020,0-9,10.0,0.0
26 ABR 2020,10-19,17.0,0.0
26 ABR 2020,20-29,49.0,0.0
26 ABR 2020,30-39,47.0,0.0
26 ABR 2020,40-49,60.0,0.0
26 ABR 2020,50-59,47.0,0.0
26 ABR 2020,60-69,29.0,1.0
26 ABR 2020,70-79,41.0,4.0
26 ABR 2020,80+,112.0,18.0
27 ABR 2020,0-9,2.0,0.0
27 ABR 2020,10-19,8.0,0.0
27 ABR 2020,20-29,13.0,0.0
27 ABR 2020,30-39,15.0,0.0
27 ABR 2020,40-49,25.0,0.0
27 ABR 2020,50-59,26.0,2.0
27 ABR 2020,60-69,21.0,2.0
27 ABR 2020,70-79,13.0,2.0
27 ABR 2020,80+,40.0,19.0
28 ABR 2020,0-9,14.0,0.0
28 ABR 2020,10-19,5.0,0.0
28 ABR 2020,20-29,37.0,0.0
28 ABR 2020,30-39,28.0,0.0
